Lang code	Lang name	Mono+c_acc	Mono+c_stdev	Mono−c_acc	Mono−c_stdev	Multi+c_acc	Multi+c_stdev	Multi−c_acc	Multi−c_stdev	Multi+c_W22_acc	Multi+c_W22_stdev	Multi−c_W22_acc	Multi−c_W22_stdev	Multi+c_ID_acc	Multi+c_ID_stdev	Multi−c_ID_acc	Multi−c_ID_stdev	ZS+c_acc	ZS+c_stdev	ZS−c_acc	ZS−c_stdev	ZS+c_W22_acc	ZS+c_W22_stdev	ZS−c_W22_acc	ZS−c_W22_stdev
pt	Portuguese	93,25	0,03	89,19	0,12	93,00	0,12	88,87	0,07	92,39	0,00	88,75	0,01	92,39	0,05	88,70	0,09	76,11	0,31	77,44	0,37	75,80	0,16	76,92	0,94
ro	Romanian	94,11	0,16	89,60	0,01	92,23	0,06	86,43	0,04	93,81	0,10	89,42	0,11	93,69	0,10	89,27	0,22	64,28	0,77	65,48	0,09	65,26	0,05	65,22	1,17
ru	Russian	94,91	0,03	89,69	0,07	94,23	0,02	88,47	0,02	92,32	0,20	86,73	0,11	92,08	0,13	86,16	0,10	85,17	0,12	82,30	0,17	84,76	0,41	82,10	0,46
sl	Slovenian	92,50	0,05	85,06	0,09	89,48	0,01	81,64	0,20	90,13	0,30	82,95	0,14	90,79	0,01	82,88	0,20	69,10	0,29	65,31	0,07	67,29	0,40	64,44	0,62
sv	Swedish	92,03	0,17	87,83	0,04	91,44	0,01	87,17	0,06	92,73	0,16	88,69	0,02	93,37	0,09	89,35	0,19	79,70	0,49	76,56	0,38	79,69	0,26	76,53	0,24
tr	Turkish	90,44	0,22	80,93	0,02	86,70	0,16	77,80	0,18	88,98	0,08	81,14	0,24	88,81	0,01	81,37	0,04	56,34	0,35	55,69	0,12	54,05	0,76	49,70	1,72
uk	Ukranian	91,93	0,02	84,09	0,10	91,44	0,00	85,18	0,03	92,29	0,10	86,56	0,04	92,27	0,05	86,32	0,27	80,07	0,08	78,12	0,15	78,91	0,07	76,94	0,24
ur	Urdu	90,56	0,01	88,78	0,29	89,53	0,10	87,84	0,14	90,51	0,12	88,70	0,03	90,44	0,08	89,02	0,09	38,97	0,21	56,66	0,51	52,82	0,03	64,95	0,33
vi	Vietnamese	86,05	0,19	77,43	0,15	84,52	0,04	76,84	0,16	85,42	0,14	77,72	0,13	85,43	0,13	77,75	0,02	39,25	0,50	39,13	2,42	37,68	0,45	30,03	0,03
zh	Chinese	87,98	0,03	82,51	0,08	88,16	0,29	83,98	0,19	88,88	0,16	84,75	0,07	88,75	0,03	84,72	0,15	50,51	0,49	49,74	0,06	49,66	0,77	52,14	0,36
Average	XXXXX	92,02	0,08	84,45	0,13	90,81	0,08	85,36	0,10	91,23	0,10	86,46	0,11	91,25	0,15	86,02	0,32	64,16	0,47	65,15	0,48	63,94	0,88	63,34	0,83
