"27673","2583","507","2024-12-17 08:40:25","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26651","2274","507","2024-12-16 21:55:04","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26907","3090","507","2024-12-16 22:15:51","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27163","3018","507","2024-12-16 22:44:16","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26396","3175","507","2024-12-16 21:46:24","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26908","2953","507","2024-12-16 22:15:51","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"27164","2474","507","2024-12-16 22:44:18","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"27676","2664","507","2024-12-17 08:41:06","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27421","3151","507","2024-12-17 00:10:20","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27166","3059","507","2024-12-16 22:44:28","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26911","3164","507","2024-12-16 22:16:42","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26656","2534","507","2024-12-16 21:55:19","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27680","2567","507","2024-12-17 08:42:05","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27425","3017","507","2024-12-17 00:11:01","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27681","2466","507","2024-12-17 08:42:13","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27426","2684","507","2024-12-17 00:11:07","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27171","1702","507","2024-12-16 22:46:48","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27427","2500","507","2024-12-17 00:11:10","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26660","2268","507","2024-12-16 21:55:32","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27684","3179","507","2024-12-17 08:43:30","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26661","2736","507","2024-12-16 21:55:36","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26917","3169","507","2024-12-16 22:17:28","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27173","1874","507","2024-12-16 22:47:39","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26662","2546","507","2024-12-16 21:55:36","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27686","2943","507","2024-12-17 08:43:50","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26407","2644","507","2024-12-16 21:46:35","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26919","2554","507","2024-12-16 22:17:41","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27175","3077","507","2024-12-16 22:48:25","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26920","2635","507","2024-12-16 22:18:09","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"27176","2927","507","2024-12-16 22:48:32","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26409","2896","507","2024-12-16 21:46:39","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27433","3191","507","2024-12-17 00:16:08","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27689","2507","507","2024-12-17 08:45:17","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26410","2651","507","2024-12-16 21:46:41","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26668","2954","507","2024-12-16 21:55:51","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26924","2457","507","2024-12-16 22:18:48","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27180","3099","507","2024-12-16 22:48:52","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"27436","2406","507","2024-12-17 00:18:08","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26413","2175","507","2024-12-16 21:46:43","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26925","2346","507","2024-12-16 22:18:50","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26926","2090","507","2024-12-16 22:18:55","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"27438","2574","507","2024-12-17 00:20:58","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27694","2689","507","2024-12-17 08:50:00","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26415","3100","507","2024-12-16 21:46:45","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27695","1752","507","2024-12-17 08:50:04","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26672","3152","507","2024-12-16 21:55:59","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26673","2920","507","2024-12-16 21:56:03","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"27185","3159","507","2024-12-16 22:49:09","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27441","2578","507","2024-12-17 00:24:15","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26930","2982","507","2024-12-16 22:19:04","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27698","2596","507","2024-12-17 08:50:30","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26675","2515","507","2024-12-16 21:56:05","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27443","1776","507","2024-12-17 00:25:13","a:1:{i:804;s:9:""Orac'List"";}",NULL
"27699","2673","507","2024-12-17 08:52:01","a:1:{i:804;s:9:""Orac'List"";}",NULL
"26676","1815","507","2024-12-16 21:56:06","a:1:{i:804;s:27:""Loups-Garous de Thiercelist"";}",NULL
"26677","2581","507","2024-12-16 21:56:07","a:1:{i:804;s:9:""Orac'List"";}",NULL
